title,ingredients,method,Main ingredients,Cuisine,Course,Prep time,Cook time,Serve,Taste,Level of cooking,Veg/Non Veg
Lavash,[],"['Mix refined flour, sugar, egg white, salt and butter in a bowl. Add sufficient water and knead into a soft dough. Add oil and knead again. Cover with damp muslin cloth and set aside for 10-15 minutes.', 'Preheat oven to 180o C.', 'Divide the dough into equal portions, shape them into balls and rest for 5-7 minutes. Roll out the balls into thin discs.', 'Grease baking tray with oil, place the discs on it, brush them with egg white and sprinkle black sesame seeds on top. Place the tray in the preheated oven and bake for 10-12 minutes.', 'Remove the tray from the oven, roughly tear lavashandplace them on a serving plate.Serve with muhammara dip.']",,Middle Eastern,Breads,,41-50 minutes,4,Mild,,Non Veg
Stuffed Potato Shells,[],"['Halve the potatoes lengthways and arrange them in a microwave proof dish. Cook in the microwave on HIGH for one to one and a half minutes.', 'Take paneer in a bowl. Add green chillies, salt, quarter teaspoon chaat masala, quarter teaspoon red chilli powder, quarter teaspoon roasted cumin power, ginger and coriander leaves and mix well.', 'Add two tablespoons grated cheese and mix well. Remove the potatoes from the microwave and with a spoon scoop out the centre like a disc, leaving a shell all around.', 'Reserve the scooped out portions. Stuff the potato shells with the paneer mixture. Place the scooped out potato discs over the stuffing. Arrange the potatoes on a baking dish.', 'Drizzle oil over the potatoes, sprinkle the remaining red chilli powder, chaat masala and roasted cumin powder along with lemon juice and the remaining cheese. Bake in the preheated oven for fifteen minutes.', 'Serve hot.']",,Indian,Snacks and Starters,,16-20 minutes,4,Tangy,,Veg
Sadak Chaap Egg Fried Rice,[],"['Heat 2 tbsps rice bran oil in a non-stick pan.', 'Break eggs in a bowl, beat well and add to the pan. Mix and cook, stirring continuously, till fully done. Add salt, mix and transfer in a bowl.', 'Heat remaining rice bran oil in another non-stick pan. Add ginger, garlic and green chillies, mix and saute till fragrant.', 'Add Basmati rice, soy sauce, red chilli sauce, vinegar and salt and mix well.', 'Add green gram sprouts, mixed bean sprouts and spring onions and mix well. Add cooked egg, masala peanuts and fried noodles and mix well.', 'Garnish with spring onions and sev and serve hot.']",,Fusion,Rice,,16-20 minutes,4,Spicy,,Non Veg
Batata Nu Shaak,[],"['Heat sufficient oil in a deep pan, slide in the potato cubes in 2 batches, and deep-fry till light golden and crisp. Drain on absorbent paper.', 'Heat 2 tbsps oil in a non-stick pan, add white sesame seeds and saute till the seeds change colour. Add the fried potatoes and mix well on high heat.', 'Add turmeric powder, coriander powder and red chilli powder, reduce heat and mix well. Add salt and sugar and mix well.', 'Switch the heat off, add coriander leaves and lemon juice and mix well.', 'Transfer to a serving bowl, garnish with coriander sprigs and serve hot.']",,Gujarati,Main Course Vegetarian,,21-25 minutes,4,Tangy,,Veg
Raw Mango Chutney,"['1 medium raw mango, peeled, seeded and roughly chopped', ' 1/2  cup fresh mint leaves', '6-8 fresh coriander sprigs', '1-2 green chillies', '2-3 garlic cloves', ' 1/2  inch ginger, roughly chopped', 'Salt to taste']",[],"Raw mango, Fresh mint leaves, Fresh coriander leaves, Green chillies, Garlic, Ginger",Indian,"Pickles, Jams, Chutneys",5-10 minutes,0 minutes,4,Savoury,Easy,Vegetarian
Jackfruit Crepe Rolls,[],"['Take rice flour in a bowl. Add refined flour, salt and some water and whisk to make a semi-thick batter.', 'Heat jackfruit in a non-stick pan. Add coconut and jaggery, mix and cook for 1 minute.', 'Add 1 tablespoon water, mix and cook till jaggery melts. Add cardamom powder and mix.', 'Heat a non-stick pan. Grease with some oil and pour a ladleful of batter and swirl to make a thin disc. Drizzle some oil on top and roast from both sides till golden. Use up the remaining batter similarly.', 'Transfer on individual serving plates, put some jackfruit mixture on one side of the disc and wrap.', 'Serve hot.']",,Indian,Snacks and Starters,,16-20 minutes,4,Sweet,,Veg
Vegan No-Bake Cookies- SK Khazana,[],"['Put rolled oats into a blender jar blend to a powder. Add cashewnuts, pumpkin seeds, ginger powder, rock salt and cinnamon powder and blend to a fine powder.', 'Add dates and vanilla extract and blend till well combined. Transfer into a large bowl. Add raisins and mix well.', 'To make the cookies, take small portions of the mixture and shape each into a ball and flatten slightly.', 'Make a dent in the centre of the cookie and place a cahsewnut half in it and press gently. .', 'Arrange the cookies on a serving plate and serve.']",,Fusion,Desserts,,0-5 minutes,4,Sweet,,Veg
Noodle Wrapped Crispy Chicken,[],"['Preheat oven to 180deg C. Grease a baking tray with some oil.', 'Take chicken strips in a bowl, add egg, cornflour, Schezwan sauce, garam masala powder, red chilli powder, turmeric powder, salt and lemon juice, mix well.', 'Take the noodles in a plate, and wrap each chicken strip with some noodles. Keep these on a plate.', 'Place the noodle coated chicken strips on the greased tray and brush some oil on each strip. Put the tray in the preheated oven and bake for 25-30 minutes.', 'Take the tray out of the oven, arrange the chicken strips on a serving platter and serve hot with Schezwan sauce or tomato ketchup.']",,Fusion,Snacks and Starters,,26-30 minutes,4,Mild,,Non Veg
Chickpeas Spinach Kofta,[],"['Place chickpeas, cumin powder, paprika powder, salt in a blender and blend coarsely. Transfer the mixture into a bowl.', 'Heat 1 tablespoon olive oil in a non-stick pan. Add spinach leaves and saute for 1 minute. Remove from heat, cool and chop finely.', 'Add chopped spinach to chickpeas mixture and mix well. Add gram flour and mix well.', 'Heat remaining oil in a non-stick pan.', 'Divide the chickpeas-spinach mixture into equal portions and shape them into quennels. Place them in the pan and fry till golden from each side.', 'To make dip, combine yogurt, tahini paste, salt, chopped coriander and lemon juice in a bowl and mix well.', 'Serve hot koftas with the dip.']",,Fusion,Snacks and Starters,,21-25 minutes,4,Mild,,Veg
Dragon Seafood Rolls,[],"['Whisk refined flour, cornflour, salt and eggs together with enough water in a bowl to make a smooth batter. Strain into another bowl and rest for half an hour.', 'To make the filling, heat one tablespoon oil in a non-stick pan, add garlic, ginger and green chilli and saute for half a minute. Add red chilli paste and spring onion and saute for a minute. Add crabmeat, shrimps and fish.', 'Add salt, soy sauce and vinegar and mix well. Cook till the mixture dries up and starts sizzling. Remove, cool and blend coarsely.', 'Heat a non-stick pan and brush a little oil on it. Mix the batter well and pour a ladle full into the pan, rotate the pan to coat it entirely and pour back the excess batter. Cook on medium to low heat, till it starts leaving the sides of the pan.', 'Remove the pancake carefully and cool. Repeat to make twelve pancakes.', 'Divide the filling into twelve equal portions. Place a portion of the filling at lower end of each pancake and roll, folding the sides while rolling. Brush the edges with egg and seal tightly. Repeat with all the pancakes and keep the rolls ready.', 'Heat sufficient oil in a wok and deep-fry the rolls in moderately hot oil, turning them frequently, until crisp and golden. Drain on absorbent paper.', 'Arrange them on a serving plate and serve hot with a dipping sauce of your choice.']",,"Chinese, , , ,",Snacks and Starters,,41-50 minutes,4,Spicy,,Non Veg
Raw Banana Curry,[],"['In a grinding jar take coconut, red chilli powder, salt, turmeric and tamarind. Add sufficient water and grind to a smooth paste.', 'Take a nonstick pan. Add bananas, onions, ground paste, garam masala and salt. Add 1 1/2  cup water and mix well. Now put the pan on heat.', 'Bring to a boil, then cover and simmer for 8-10 minutes or till the bananas are cooked.', 'Add coconut oil mix and further cook for a minute.', 'Transfer into a bowl and serve hot.']",,Indian,Main Course Vegetarian,,11-15 minutes,4,Spicy,,Veg
Chocolate Walnut Tart,[],"['Melt chocolate and butter together on a double boiler. Remove from heat and mix well till smooth. Add maple syrup, cream and orange zest and mix well.', 'Cool down to room temperature. Add walnuts and mix well.', 'Pour the mixture equally into the tart shell and refrigerate for two to three hours.', 'Garnish with chopped walnuts and serve chilled.']",,Fusion,Desserts,,3-3.30 hour,4,Sweet,,Veg
Cheesy Rolls,[],"['Heat milk and half cup of butter together in a non-stick pan until warm.', 'Sieve together two cups of flour and salt in a bowl. Make a well in the center and add yeast and sugar. Add the warm milk and set aside for five to ten minutes.', 'Once the yeast becomes frothy, add egg and remaining flour. Mix and knead into a soft, slightly sticky dough.', 'Place the dough in a large bowl that has been greased with oil. Turn the dough to coat completely in the oil. Cover and put in a warm place to prove for one hour.', 'Heat one tablespoon of butter in a non-stick pan. Add garlic and saute for a minute. Remove from heat and set aside.', 'Take parmesan cheese powder in another bowl. Add herbs, mix well and set aside.', 'Remove the dough from the bowl and divide into eight equal portions. Place a cube of cheese in the middle of the dough and roll.', 'Place the rolls on a baking tray about half inch apart. Cover and put in a warm place to prove for thirty minutes.', 'Preheat oven to 180degC.', 'Put the tray in the preheated oven and bake for twenty to thirty minutes. Remove from oven, brush with sauteed garlic and sprinkle herbed parmesan on top.', 'Serve immediately.']",,Fusion,Snacks and Starters,,0-5 minutes,4,Sweet,,Veg
Bajra Burfi,[],"['Heat ghee in a non stick kadai. Add bajra flour and saute for 6-8 minutes. Add khoya and jaggery and mix. Switch off the heat and continue mixing.', 'Grease an aluminium tray with ghee and spread the mixture evenly. Cut into squares while still hot.', 'When it cools down separate the squares and arrange on a serving plate. Serve.']",,Indian,Mithais,,16-20 minutes,4,Sweet,,Veg
Kurmure ki Chikki - SK Khazana,[],"['Heat ghee in a deep non-stick pan, add jaggery and cook, stirring continuously, till jaggery melts and colour changes and becomes light.', 'Drizzle a few drops of the melted jaggery on the back side of a thali and if the jaggery hardens to a soft ball it is ready. Add puffed rice in pan and mix till all the puffed rice are well coated with the jaggery. Cook for 1-2 minutes.', 'Brush ghee on the backside of 2 medium steel thalis. While the mixture is still warm, spread it on the thalis with greased hands.', 'While the mixture is still warm and cut into 1 inch cubes. Separate the cubes and serve or store in an air-tight container and use as required.']",,Indian,Mithais,,6-10 minutes,4,Sweet,,Veg
Prawns Inteha,[],"['Remove head and shell jumbo prawns. Remove the vein. Slit into two lengthwise.', 'Dry roast fennel seeds, cloves and coriander seeds. Cool and powder.', 'Heat oil in a pan, add mustard seeds, curry leaves and caraway seeds. When the seeds crackle, add onion and saute. Add green garlic and green chillies, stir and add coconut. Saute for two to three minutes.', 'Add prawns and stir. Sprinkle some water and add salt to taste. Add roasted masala powder and mix with a light hand. Add coriander leaves and mix.', 'Sprinkle some more water and cook. Add lemon juice, mix and cook for two to three minutes.', 'Transfer onto a dish.', 'Sprinkle grated cheese on top and serve hot.']",,Fusion,Snacks and Starters,,26-30 minutes,4,Spicy,,Non Veg
Honey and Lemon Chicken on Rice,[],"['Slice 2 lemons into thick roundels. Make light gashes on the chicken breast on both sides. Sprinkle salt and red chilli flakes on both sides.', 'Heat 1 tbsp oil in a non-stick grill pan and place 6 lemon roundels in 2 rows. Place the chicken breast over them. Squeeze the juice of  1/2  lemon and let it cook.', 'Halve the shallots. Heat 2 tbsps oil in a non-stick wok, add shallots and ginger and saute.', 'Turn the chicken breast over, add 2 tbsps water and let it cook.', 'Add orange juice to the wok. Cut carrot into roundels and halve them and add to the wok and cook.', 'Add salt, honey, red chilli flakes, juice of  1/2  lemon and mix. Add  1/2  cup cooked brown rice and mix and let it get heated through.', 'Drizzle a little oil over the chicken breast and cook till both sides are golden. Remove from the pan and thickly slice diagonally without cutting through.', 'Transfer the rice into a serving plate, place the chicken over it. Garnish with a sprig of curly parsley and grilled lemon slices and serve hot.']",,Fusion,Main Course Chicken,,16-20 minutes,4,Sweet and Sour,,Non Veg
Peas and Raw Banana Subzi,[],"['Apply salt to banana cubes and put in a bowl. Steam in a steamer for five to seven minutes.', 'Heat oil in a non-stick pan, add cumin seeds and let them change colour. Add chilli paste and mix well and saute.', 'Add crushed peas, mix and saute for two minutes. Add coriander powder, cumin powder and turmeric powder and mix well.', 'Add salt and banana cubes and mix well. Add coconut and mix. Cover and cook for three to four minutes. Add dried mango powder and mix well.', 'Add coriander leaves and mix well.', 'Transfer into a serving bowl and serve hot with chapatti or phulka.']",,Indian,Main Course Vegetarian,,16-20 minutes,4,Spicy,,Veg
Masala Khichdi,[],"['Peel and chop the onions. Wash and chop the green chilies. Peel and cube the potatoes. Peel and mince the ginger and garlic. Clean, wash and chop the coriander leaves. Wash and soak the dal and rice for half an hour. Drain.', 'Grind the coconut piece to a fine paste. Fry onions in a combination of 1 tablespoon ghee and 1 tablespoon oil. When the onions are light brown add the cumin seeds, minced garlic, ginger and green chillies. Then add the red chilli powder, turmeric powder and garam masala powder together with the ground coconut.', 'Fry for a while, put in the rice and dal and fry both for 2-3 minutes. Pour in warm water till it is about two inches above the level of the rice. If the water dries up, more warm water may be added. Add potato cubes and salt. When the water starts bubbling, lower the heat and simmer till rice and dal are cooked.', 'Sprinkle coriander leaves on top and serve hot.']",,Indian,Rice,,26-30 minutes,4,Mild,,Veg
Sitaphal Ice Cream - SK Khazana,[],"['Blend together custard apple pulp, condensed milk, castor sugar, milk powder, cream and milk in a blender till smooth.', 'Pour this mixture into an airtight container, put on the lid and freeze till set.', 'Put scoops in individual serving bowls and serve.']",,Fusion,Desserts,,0-5 minutes,4,Sweet,,Veg
Pasta In Rice Cooker,[],"['Set the rice cooker on cook mode and pour olive oil in it. Crush garlic and add and saute for a minute.', 'Add onions and continue to saute till lightly browned. Add tomato puree and continue to saute.', 'Add penne pasta, 2 cups water and mix. Add salt, dried herbs, crushed red chillies and sugar and mix well.', 'When the mixture starts boiling add torn basil leaves, parmesan cheese and cover the cooker. Cook till done.', 'Serve hot.']",,Italian,Noodles and Pastas,,11-15 minutes,4,Mild,,Veg
Chocolate Walnut Burfi,[],"['Cut the shelled walnuts into small pieces. Heat the crumbled mawa in a pan and roast for a while. Add sugar and a little milk and cook till it thickens.', 'Grease a baking tray with oil. Pour half the mawa mixture onto it and spread it evenly. In the remaining mixture add the cocoa powder and the walnut pieces.', 'Spread this on top of the earlier layer, which by now has cooled slightly. Shake the tray so that the mixture spreads evenly. Spread silver varq on top.', 'When completely cooled cut into square or diamond shaped pieces and serve or store.']",,Indian,Mithais,,16-20 minutes,4,Sweet,,Veg
Rajma Chawal,[],"['Heat ghee and oil in a non-stick pan. Add cumin seeds and saute till seeds change colour.', 'Add ginger and garlic, mix well and saute for a minute. Add onion, mix and saute till onion is well browned.', 'Add tomato puree and mix. Add chilli powder, coriander powder, turmeric powder and cumin powder, mix, cover and cook for 2-3 minutes.', 'Add kidney beans and mix. Add salt and kidney beans stock, mix, cover and cook for 3-4 minutes.', 'Add dried mango powder_ and garam masala powder and mix well. Add cream and mix well.', 'Transfer into a serving bowl, drizzle some cream on top, garnish with a coriander sprig and serve hot with jeera rice.']",,Punjabi,Main Course Vegetarian,,21-25 minutes,4,Spicy,,Veg
Punjabi Samosa Gujiya,[],"['To prepare gujiya dough, sift flour in a bowl. Add ghee and some cold water and knead into a dough. Set aside.', 'To prepare stuffing, heat 1 tablespoon oil in a non-stick pan. Add cumin seeds, ginger, green chillies and potatoes, mix and cook for 1 minute. Add red chilli powder, dried mango powder, garam masala powder and salt and mix well.', 'Sprinkle some water on top, cover and cook till potatoes are done.', 'Add green peas and cook for 5 minutes on low heat. Add chopped coriander and mix well. Remove from heat and set aside to cool.', 'Divide the dough into twelve equal portions and shape into balls. Roll out each ball into a puri. Place one portion of the stuffing on one half of the puri, lightly moisten the edges, fold the other half over the stuffing and press the edges to seal. Pinch the edges to make a design.', 'Heat sufficient oil in a kadai. Deep fry the gujiyas on low heat till they become crisp and golden. Drain onto an absorbent paper.', 'Serve hot.']",,Indian,Snacks and Starters,,26-30 minutes,4,Mild,,Veg
Warm Farfalle Salad,[],"['Cook pasta in 2 cups water. Heat 2 tbsps oil in a non stick pan. Add corn and cook on high heat for 3-4 minutes.', 'Halve baby tomatoes and olives. Add garlic to the oil in the pan, mix well and saute till burnt. Mix olives, tomatoes, onions and corn-garlic mixture in a bowl. Tear basil leaves and add.', 'Add broccoli florets to pasta, mix well and cook till al dante. Add remaining oil, salt and vinegar to the bowl. Drain water from cooked pasta and broccoli and add to bowl. Mix well. Serve immediately.']",,Fusion,Salads,,21-25 minutes,,Mild,,Veg
Kanda Poha- Sk Khazana,[],"['Wash pressed rice thoroughly with water. Drain and set aside.', 'Heat oil in a non-stick pan, add mustard seeds and let them splutter. Add asafoetida, green chillies and curry leaves, mix and saute for 1 minute.', 'Add onion, mix and saute till translucent. Add turmeric powder, mix and saute.', 'Add pressed rice, salt, roasted peanuts and coriander leaves and mix well. Cook for 2-3 minutes. Take the pan off the heat.', 'Transfer into a serving bowl, garnish with coriander sprig and serve hot with lemon wedge.']",,Maharashtrian,Snacks and Starters,,11-15 minutes,4,Spicy,,Veg
Multi Grain Dal Dhokli,[],"['Heat a pressure cooker, add split pigeon peas, salt,  1/2  tsp turmeric powder, peanuts and 2 cups water. Cover the cooker and cook under pressure till 4-5 whistles are released.', 'Meanwhile take multigrain flour, gram flour, salt, remaining turmeric powder and red chilli powder in a bowl and mix well. Add sufficient water and knead into stiff dough. Cover with a damp muslin cloth and set aside for 10-15 minutes.', 'Take small portions of dough and roll them on back of a fork to shape into gnocchis.', 'Uncover the cooker when the pressure settles completely.', 'Heat ghee in a deep non-stick pan, add mustard seeds and let them splutter. Add asafoetida, fenugreek seeds, curry leaves, dried red chillies and the cooked pigeon peas. Mix well for 1 minute on medium heat. Add dal tadka masala and mix well. Add sufficient water to get the required consistency and mix well.', 'Add the gnocchis and mix well. Cover and cook on medium heat for 15-20 minutes.', 'Adjust salt, add jaggery and coriander leaves and mix till jaggery dissolves. Switch the heat off.', 'Put ladles full of cooked dal dhokli into serving plates and serve hot with khakras.']",,Gujarati,Dals and Kadhis,,31-40 minutes,4,Spicy,,Veg
Pear Payasam with Malpua,[],"['To prepare pear payasam, heat 2 cups milk in a non-stick pan and bring to boil.', 'Grind soaked rice alongwith some water to make a coarse paste. Add it to boiled milk, mix and cook for a minute.', 'Discard stem and bottom of a pear, peel and finely chop. Add to payasam mixture, mix and cook for 3-5 minutes.', 'To prepare malpua, take flour in a bowl. Add baking powder and rabdi and whisk. Add some milk and whisk well to make a smooth batter.', 'Heat sufficient ghee in a kadai.', 'Add saffron to the batter and whisk. Add  1/2  tsp cardamom powder and whisk well.', 'Add castor sugar to payasam mixture and mix. Add remaining cardamom powder, mix and cook till sugar melts.', 'Heat sugar syrup in another non-stick pan. Switch off heat.', 'Put a ladle of malpua batter in hot ghee and shallow-fry till golden. Drain in hot sugar syrup and soak for a minute.', 'Finely slice blanched pistachios.', 'Transfer soaked malpuas on a plate and halve. Put halved malpuas in 2 different serving martini glasses and pour some pear payasam.', 'Serve immediately garnished with sliced pistachios and saffron strands.']",,Indian,Desserts,,16-20 minutes,,Sweet,,Veg
Truffle Brownie,[],"['Preheat the oven to 180degC/350degF.', 'Place the butter in a bowl, add sugar and beat together till the sugar dissolves. Melt one hundred and seventy grams of chocolate in the microwave oven for one minute and whisk till smooth.', 'Add to the butter mixture and mix well. Break the eggs into a bowl and whisk them well. Add the vanilla essence and whisk again. Sift the flour and baking powder into the bowl with eggs and whisk with a hand blender.', 'Add the butter-sugar-chocolate mixture and whisk again. Add the walnuts and mix. Pour the batter into silicone moulds and place them in the preheated oven. Bake for twenty to twenty five minutes. When done take them out and set aside to cool a little.', 'Heat the cream and the remaining chocolate in separate bowls in the microwave oven. Whisk the chocolate and add the cream and whisk again till well blended.', 'When the brownies have cooled a little spread the truffle over and serve.']",,Fusion,Desserts,,31-40 minutes,4,Sweet,,Non Veg
Angoor Aur Khajur Ki Chutney,[],"['Dry roast cumin seeds, cool and powder. Cook together grapes and dates along with few drops of water till the grapes are completely mashed.', 'Add red chilli powder and roasted cumin powder, raisins and cook for five minutes. Add salt and jaggery and mix well till the jaggery is completely dissolved and well blended.', 'Serve at room temperature.']",,Indian,"Pickles, Jams and Chutneys",,16-20 minutes,4,Tangy,,Veg
